gene_id,gene_name,nreg_total,resid_total,baseMean,shet,ess_hart,ess_cegv2,druggable
ENSG00000018869,ZNF582,78,9.166981126972086,1.5558883039246938,0.00055651,False,False,False
ENSG00000019144,PHLDB1,78,31.18770428309439,0.5684972678136655,0.06672024,False,False,False
ENSG00000019582,CD74,570,-170.7885807572063,1268.1275098898602,0.00979053,False,False,False
ENSG00000020129,NCDN,174,2.034355733025926,22.97563982700209,0.32451298,False,False,False
ENSG00000020256,ZFP64,47,-112.87100450686378,17.625041971495968,0.02449807,False,False,False
ENSG00000020426,MNAT1,144,-96.57330868046284,57.36931420551508,0.00395513,False,False,False
ENSG00000020577,SAMD4A,103,41.19879342381964,1.3880104383711036,0.15867979,False,False,False
ENSG00000020633,RUNX3,265,-57.11966765189112,131.26113003489777,0.32975864,False,False,False
ENSG00000020922,MRE11,121,-93.60845581610549,40.64203590366493,0.00256008,False,False,False
ENSG00000021300,PLEKHB1,115,41.579972940630455,2.069959784413472,0.00252605,False,False,False
ENSG00000021355,SERPINB1,327,-74.02094059215473,236.30550482728665,0.00304707,False,False,False
ENSG00000021574,SPAST,91,-118.11814671826286,37.653291096434245,0.15633964,False,False,False
ENSG00000021776,AQR,84,-156.4020763990301,56.6486653801604,0.10418417,True,True,False
ENSG00000022267,FHL1,81,7.1614355957629385,2.1093237612416074,0.36357816,False,False,False
ENSG00000022277,RTF2,277,-18.085296269313943,99.30606021299438,0.0184683,False,False,False
ENSG00000022556,NLRP2,26,-121.75293556315434,14.003140592478218,0.00047652,False,False,True
ENSG00000022567,SLC45A4,42,-47.65794744826454,3.4024207415707526,0.01908266,False,False,True
ENSG00000022840,RNF10,167,-135.5857117007962,105.5965508791161,0.05182839,False,False,False
ENSG00000022976,ZNF839,93,-48.97006730788558,12.631097557241933,0.01480117,False,False,False
ENSG00000023041,ZDHHC6,191,-95.95111437607258,92.79141786508731,0.00227708,False,False,False
ENSG00000023171,GRAMD1B,421,90.67328372011613,143.0201192431082,0.14710722,False,False,False
ENSG00000023191,RNH1,214,-74.22151828322265,95.58896224345804,0.00211443,False,False,False
ENSG00000023228,NDUFS1,162,-109.55242855860104,78.48234088842516,0.00362525,False,False,False
ENSG00000023287,RB1CC1,157,-49.40059323027802,35.98157794357759,0.18875659,False,False,False
ENSG00000023318,ERP44,248,-31.5670872813876,85.1998702353456,0.14622018,False,False,False
ENSG00000023330,ALAS1,179,-51.03001065230359,50.27857258794109,0.0324001,False,False,False
ENSG00000023445,BIRC3,494,99.67390559682649,238.5487696915944,0.03717913,False,False,False
ENSG00000023516,AKAP11,235,-50.91541203132205,94.36422929229917,0.06040856,False,False,False
ENSG00000023572,GLRX2,206,-29.292559803836184,54.21628572035784,0.00210322,False,False,False
ENSG00000023697,DERA,235,2.396235978097806,50.933019079972134,0.00065542,False,False,False
ENSG00000023734,STRAP,370,39.37129532182247,142.2419223494026,0.10686974,False,False,False
ENSG00000023839,ABCC2,40,-21.388905171290112,1.097619992981397,0.00022939,False,False,True
ENSG00000023892,DEF6,330,40.00651606813969,93.81144284847979,0.08670654,False,False,False
ENSG00000023902,PLEKHO1,308,39.552908924868106,77.11872650112448,0.04871828,False,False,False
ENSG00000023909,GCLM,347,89.78312090375655,67.47974390035075,0.14400105,False,False,False
ENSG00000024048,UBR2,431,139.36273673783506,95.56510877724335,0.08109474,False,False,False
ENSG00000024526,DEPDC1,291,38.60631581158398,66.41603382767029,0.00202601,False,False,False
ENSG00000024862,CCDC28A,298,104.5204743911809,30.250584036739223,0.0018684,False,False,False
ENSG00000025039,RRAGD,347,210.31065781624025,11.487145358679445,0.08920625,False,False,False
ENSG00000025156,HSF2,83,-92.70492085960068,23.1644710676994,0.09660874,False,False,False
ENSG00000025293,PHF20,126,-54.19214655893648,24.991746162539325,0.15086255,False,False,False
ENSG00000025423,HSD17B6,77,-12.526066051240406,3.4916331230768463,0.0313874,False,False,False
ENSG00000025434,NR1H3,85,-39.53494867879106,9.063682338169425,0.02034079,False,False,True
ENSG00000025708,TYMP,434,178.89114718474985,68.0849114713123,0.00130375,False,False,False
ENSG00000025770,NCAPH2,240,-39.65190064822259,84.73263983629614,0.03000111,False,False,False
ENSG00000025772,TOMM34,327,68.24627324588388,76.05058153086688,0.01665816,False,False,False
ENSG00000025796,SEC63,206,-33.04275602488332,56.14706358477836,0.02248674,False,False,False
ENSG00000025800,KPNA6,156,-122.65959835342578,85.90871850189589,0.1838245,False,False,False
ENSG00000026025,VIM,601,-209.356411659358,1670.2360181388349,0.09846771,False,False,False
ENSG00000026103,FAS,441,169.37235309091142,78.46287484064223,0.05940548,False,False,True
ENSG00000026297,RNASET2,182,-1.160991574337018,25.736821435997253,0.00131859,False,False,False
ENSG00000026508,CD44,598,161.81672895216045,360.17198778062493,0.03242292,False,False,False
ENSG00000026559,KCNG1,70,4.205763523347655,1.8140053472108746,0.0379564,False,False,True
ENSG00000026652,AGPAT4,188,38.88764661856351,16.680382679807806,0.05061178,False,False,False
ENSG00000026751,SLAMF7,279,77.19470046681913,42.38725087084645,0.01790915,False,False,False
ENSG00000026950,BTN3A1,230,86.6299829267713,13.290790529767321,0.0009717,False,False,False
ENSG00000027001,MIPEP,98,-36.48882737628933,10.708426229464296,0.00061426,False,False,False
ENSG00000027075,PRKCH,311,-13.464788333578028,130.78080205488283,0.06997708,False,False,False
ENSG00000027697,IFNGR1,280,67.31449646124332,39.39558393810023,0.01019657,False,False,True
