gene_id,gene_name,nreg_Rest,resid_Rest,nreg_Stim8hr,resid_Stim8hr,nreg_Stim48hr,resid_Stim48hr,nreg_total,resid_total,baseMean,ess_hart,ess_cegv2,noness_negv1,shet
ENSG00000006451,RALA,61,-10.895207521532967,55,-43.607893598985726,51,-28.52899926946121,167,-83.0321003899799,63.194316830292344,False,False,False,0.51256059
ENSG00000006453,BAIAP2L1,3,-4.559235324694194,9,-9.372767691139845,17,5.103741881848851,29,-8.828261133985189,0.34360249992671416,False,False,False,0.01132451
ENSG00000006459,KDM7A,76,20.547866670084282,81,20.684723768698568,78,8.398046185450937,235,49.63063662423379,28.067446459221344,False,False,False,0.12695676
ENSG00000006530,AGK,78,19.67901397109346,214,92.9618028155283,96,15.251886174854818,388,127.89270296147659,83.94894761081011,False,False,False,0.00189305
ENSG00000006555,TTC22,63,16.221143622737067,54,15.844729074005848,29,0.32888936503408317,146,32.394762061777,7.748789551177781,False,False,False,0.00073053
ENSG00000006576,PHTF2,94,10.193461379702157,148,45.54198280119188,113,4.36255873890255,355,60.098002919796585,98.58192326691916,False,False,False,0.04153188
ENSG00000006607,FARP2,25,-15.421371682346894,48,-26.20721160505012,43,-3.9521272265312604,116,-45.580710513928274,19.1087705528707,False,False,False,0.00095123
ENSG00000006625,GGCT,94,23.465574919239188,121,10.447602427337543,125,26.25763147084818,340,60.17080881742491,89.37776602727324,False,False,False,0.00063882
ENSG00000006634,DBF4,85,14.465437399291915,64,-31.635643686551816,64,-29.11074452155151,213,-46.28095080881141,69.4806384797286,False,False,False,0.06229428
ENSG00000006638,TBXA2R,63,30.44164056117733,19,-8.297333252280819,12,-1.7465911303101755,94,20.397716178586336,2.4505465696674693,False,False,False,0.00192255
ENSG00000006652,IFRD1,52,-4.139502126650164,155,56.12427464389967,94,12.43612438359365,301,64.42089690084316,56.98513549773821,False,False,False,0.03231279
ENSG00000006695,COX10,25,-40.40867101838866,51,-47.77236025836507,42,-37.94164660452512,118,-126.12267788127885,60.004441480794874,False,True,False,0.01521682
ENSG00000006704,GTF2IRD1,46,21.630660457481845,28,-2.896279752398989,33,9.345966919681452,107,28.080347624764308,2.484120438365492,False,False,False,0.07975953
ENSG00000006712,PAF1,42,-33.87152272356593,47,-49.530254696791005,33,-49.81918651052712,122,-133.22096393088407,66.00967233938651,False,False,False,0.04237073
ENSG00000006715,VPS41,56,-12.15154931351654,89,7.139326662041995,54,-11.157581946975455,199,-16.16980459845,40.628464041522555,False,False,False,0.00651505
