gene_id,gene_name,n_regulators,resid_responsiveness,my_gene_response,essential_hart,shet
ENSG00000175895,PLEKHF2,169.0,-16.09579537238485,105.0,False,0.25601877
ENSG00000175906,ARL4D,42.0,-34.022902731258114,25.0,False,0.05496103
ENSG00000175931,UBE2O,153.0,-97.49474012055528,105.0,False,0.2267464
ENSG00000175938,ORAI3,158.0,37.63038795304717,87.0,False,0.00444963
ENSG00000175970,UNC119B,172.0,-59.59637592909911,116.0,False,0.02686725
ENSG00000176014,TUBB6,186.0,84.86806779026796,135.0,False,0.01209118
ENSG00000176018,LYSMD3,206.0,-9.637867747900103,129.0,False,0.02288474
ENSG00000176022,B3GALT6,93.0,-32.33001497297044,60.0,False,0.02710198
ENSG00000176024,ZNF613,104.0,-16.502216707998763,69.0,False,0.00071304
ENSG00000176049,JAKMIP2,65.0,3.690309452609938,44.0,False,0.22016697
ENSG00000176055,MBLAC2,43.0,-39.92933653830744,30.0,False,0.00332056
ENSG00000176058,TPRN,37.0,-47.63375042186077,30.0,False,0.0038098
ENSG00000176087,SLC35A4,175.0,-110.3864878244078,113.0,False,0.00674623
ENSG00000176101,SSNA1,112.0,-103.96517428155204,62.0,False,0.00166803
ENSG00000176105,YES1,208.0,18.189954393785342,135.0,False,0.02276483
ENSG00000176125,UFSP1,29.0,-34.92337679175607,18.0,False,0.01062802
ENSG00000176142,TMEM39A,280.0,40.18380654132592,186.0,False,0.07106278
ENSG00000176148,TCP11L1,223.0,38.016288907214594,134.0,False,0.03196334
ENSG00000176155,CCDC57,102.0,8.005963587787956,71.0,False,0.00156487
ENSG00000176160,HSF5,91.0,-10.03074276610731,61.0,False,0.11453891
ENSG00000176170,SPHK1,218.0,91.47623436683978,144.0,False,0.00072538
ENSG00000176182,MYPOP,65.0,-43.52315278232872,39.0,False,0.1140139
ENSG00000176208,ATAD5,302.0,38.57146034826299,200.0,False,0.12757001
ENSG00000176209,SMIM19,425.0,144.13935195744654,265.0,False,0.00505913
ENSG00000176225,RTTN,121.0,-32.847641431178864,73.0,False,0.0067969
ENSG00000176244,ACBD7,35.0,-31.664956420092135,31.0,False,0.00048012
ENSG00000176261,ZBTB8OS,175.0,-40.772739363535095,119.0,False,0.05446563
